raw.md
======

# Daily Feed Summary — 2026-04-09

Total: 12 relevant feeds (from 29)

| Date | Time | Title | PDF | GitHub | Stars | 논문 분석 | GitHub 분석 |
|------|------|-------|-----|--------|-------|-----------|-------------|
| 2026-04-09 | 16:17 | Early R&D using our SP-6M dataset. Exploring image-to-3D rec...... | N/A | N/A | N/A | N/A | N/A |
| 2026-04-09 | 14:05 | RT MrNeRF: [SIGGRAPH '26] Anchored Temporal Gaussian Splatti...... | https://arxiv.org/pdf/2604.04874 | https://github.com/facebookresearch/EUPE | 431 | N/A | [분석](papers/2604.04874/repo.md) |
| 2026-04-09 | 09:13 | What semantic knowledge can be stored in pure noise? In our ...... | https://arxiv.org/pdf/2411.14517 | https://github.com/apple/ml-mobileclip | 1480 | N/A | [분석](papers/2411.14517/repo.md) |
| 2026-04-09 | 19:45 | Check out this cool idea that Ahan hatched during his intern...... | https://arxiv.org/pdf/2412.09548 | https://github.com/ArthurBrussee/brush | 3906 | N/A | [분석](papers/2412.09548/repo.md) |
| 2026-04-09 | 14:05 | [SIGGRAPH '26] Anchored Temporal Gaussian Splatting for Long...... | N/A | N/A | N/A | N/A | N/A |
| 2026-04-09 | 00:19 | In this paper, Lightspeed researchers have introduced a neur...... | https://arxiv.org/pdf/2604.03748 | N/A | N/A | N/A | N/A |
| 2026-04-09 | 08:52 | Face culling for 3D reconstructions in Rerun ? Our latest 0....... | N/A | https://github.com/Lab-of-AI-and-Robotics/LEGO-SLAM | 73 | N/A | [분석](repos/Lab-of-AI-and-Robotics_LEGO-SLAM.md) |
| 2026-04-09 | 16:52 | Thrilled to announce our latest project at @allen_ai @RAIVNL...... | N/A | N/A | N/A | N/A | N/A |
| 2026-04-09 | 23:57 | Learning 3D Reconstruction with Priors in Test Time Lei Zhou...... | https://arxiv.org/pdf/2604.03377 | N/A | N/A | N/A | N/A |
| 2026-04-09 | 16:15 | Mesh is over... | N/A | N/A | N/A | N/A | N/A |
| 2026-04-09 | 23:58 | A Chinese engineering student walked into his dorm with thre...... | N/A | N/A | N/A | N/A | N/A |
| 2026-04-09 | 06:25 | Excited to share our latest work AvatarPointillist! ? We pro...... | https://arxiv.org/pdf/2406.01900 | https://github.com/KumapowerLIU/AvatarPointillist | 22 | N/A | [분석](papers/2406.01900/repo.md) |
